id,pop,ocean
GE-IB047,IB,Indian
GE-IB048,IB,Indian
GE-IB049,IB,Indian
GE-IB050,IB,Indian
GE-IB051,IB,Indian
GE-IB052,IB,Indian
GE-IB053,IB,Indian
GE-IB054,IB,Indian
GE-IB055,IB,Indian
GE-IB056,IB,Indian
GE-IB057,IB,Indian
GE-IB058,IB,Indian
GE-IB059,IB,Indian
GE-IB060,IB,Indian
GE-IB061,IB,Indian
GE-IB062,IB,Indian
GE-IB063,IB,Indian
GE-IB064,IB,Indian
GE-IB065,IB,Indian
GE-IB066,IB,Indian
GE-IB067,IB,Indian
GE-IB068,IB,Indian
GE-IB069,IB,Indian
GE-IB070,IB,Indian
GE-IB071,IB,Indian
GE-IB072,IB,Indian
GE-IB073,IB,Indian
GE-IB074,IB,Indian
GE-IB075,IB,Indian
GE-IB076,IB,Indian
GE-IB077,IB,Indian
GE-IB078,IB,Indian
GE-IB079,IB,Indian
GE-IB080,IB,Indian
GE-IB081,IB,Indian
GE-IB082,IB,Indian
GE-IB083,IB,Indian
GE-IB084,IB,Indian
GE-IB085,IB,Indian
GE-IB086,IB,Indian
GE-IB087,IB,Indian
GE-IB088,IB,Indian
GE-IB089,IB,Indian
GE-IB090,IB,Indian
GE-IB091,IB,Indian
GE-IB092,IB,Indian
GE-IB093,IB,Indian
GE-IB094,IB,Indian
GE-IB095,IB,Indian
GE-IB096,IB,Indian
GE-IB097,IB,Indian
GE-IB098,IB,Indian
GE-IB099,IB,Indian
GE-IB100,IB,Indian
GE-IC001,IC,Indian
GE-IC002,IC,Indian
GE-IC003,IC,Indian
GE-IC004,IC,Indian
GE-IC005,IC,Indian
GE-IC006,IC,Indian
GE-IC007,IC,Indian
GE-IC008,IC,Indian
GE-IC009,IC,Indian
GE-IC010,IC,Indian
GE-IC011,IC,Indian
GE-IC012,IC,Indian
GE-IC013,IC,Indian
GE-IC014,IC,Indian
GE-IC015,IC,Indian
GE-IC016,IC,Indian
GE-IC017,IC,Indian
GE-IC018,IC,Indian
GE-IC019,IC,Indian
GE-IC020,IC,Indian
GE-IC021,IC,Indian
GE-IC022,IC,Indian
GE-IC023,IC,Indian
GE-IC024,IC,Indian
GE-IC025,IC,Indian
GE-IC026,IC,Indian
GE-IC027,IC,Indian
GE-IC028,IC,Indian
GE-IC029,IC,Indian
GE-IC030,IC,Indian
GE-IC031,IC,Indian
GE-IC032,IC,Indian
GE-IC033,IC,Indian
GE-IC034,IC,Indian
GE-IC035,IC,Indian
GE-IC036,IC,Indian
GE-IC037,IC,Indian
GE-IC038,IC,Indian
GE-IC039,IC,Indian
GE-IC040,IC,Indian
GE-IC041,IC,Indian
GE-IC042,IC,Indian
GE-IC043,IC,Indian
GE-IC044,IC,Indian
GE-IC045,IC,Indian
GE-IC046,IC,Indian
GE-IC047,IC,Indian
GE-IC048,IC,Indian
GE-IC050,IC,Indian
GE-IC052,IC,Indian
GE-IC054,IC,Indian
GE-IC055,IC,Indian
GE-IC059,IC,Indian
GE-IC061,IC,Indian
GE-IC063,IC,Indian
GE-IC065,IC,Indian
GE-IC067,IC,Indian
GE-IC069,IC,Indian
GE-IC071,IC,Indian
GE-IC073,IC,Indian
GE-IC075,IC,Indian
GE-IC077,IC,Indian
GE-IC078,IC,Indian
GE-IC081,IC,Indian
GE-IC083,IC,Indian
GE-IC085,IC,Indian
GE-IC087,IC,Indian
GE-IC089,IC,Indian
GE-IC091,IC,Indian
GE-IC092,IC,Indian
GE-IC094,IC,Indian
GE-IC097,IC,Indian
GE-IC099,IC,Indian
GE-IC101,IC,Indian
GE-IC103,IC,Indian
GE-IC105,IC,Indian
GE-IC107,IC,Indian
GE-IC109,IC,Indian
GE-IC111,IC,Indian
GE-IC113,IC,Indian
GE-IC115,IC,Indian
GE-IC116,IC,Indian
GE-IC119,IC,Indian
GE-IC121,IC,Indian
GE-IC123,IC,Indian
GE-IC125,IC,Indian
GE-IC127,IC,Indian
GE-IC130,IC,Indian
GE-IC131,IC,Indian
GE-IC132,IC,Indian
GE-IC133,IC,Indian
GE-IC134,IC,Indian
GE-IC135,IC,Indian
GE-IC136,IC,Indian
GE-IC137,IC,Indian
GE-IC138,IC,Indian
GE-IC140,IC,Indian
GE-IC141,IC,Indian
GE-IC142,IC,Indian
GE-IC143,IC,Indian
GE-IC144,IC,Indian
GE-IC145,IC,Indian
GE-IC146,IC,Indian
GE-IC147,IC,Indian
GE-IC148,IC,Indian
GE-IC149,IC,Indian
GE-IC150,IC,Indian
GE-IC151,IC,Indian
GE-IC152,IC,Indian
GE-IC153,IC,Indian
GE-IC154,IC,Indian
GE-IC155,IC,Indian
GE-IC156,IC,Indian
GE-IC157,IC,Indian
GE-IC158,IC,Indian
GE-IC159,IC,Indian
GE-IC160,IC,Indian
GE-IC161,IC,Indian
GE-IC162,IC,Indian
GE-IC163,IC,Indian
GE-IC164,IC,Indian
GE-IC165,IC,Indian
GE-IC166,IC,Indian
GE-IC167,IC,Indian
GE-IC168,IC,Indian
GE-IC169,IC,Indian
GE-IC170,IC,Indian
GE-IC171,IC,Indian
GE-IC172,IC,Indian
GE-IC173,IC,Indian
GE-IC174,IC,Indian
GE-IC175,IC,Indian
GE-IC176,IC,Indian
GE-IC177,IC,Indian
GE-IC178,IC,Indian
GE-IC179,IC,Indian
GE-IC180,IC,Indian
GE-IC181,IC,Indian
GE-IC182,IC,Indian
GE-IC183,IC,Indian
GE-IC184,IC,Indian
GE-IC185,IC,Indian
GE-IC186,IC,Indian
GE-IC187,IC,Indian
GE-IC188,IC,Indian
GE-IC189,IC,Indian
GE-IC190,IC,Indian
GE-IC191,IC,Indian
GE-IC192,IC,Indian
GE-IC193,IC,Indian
GE-IC194,IC,Indian
GE-IC195,IC,Indian
GE-IC196,IC,Indian
GE-IC197,IC,Indian
GE-IC198,IC,Indian
GE-IC199,IC,Indian
GE-IC200,IC,Indian
GE-IC201,IC,Indian
GE-IC202,IC,Indian
GE-IC203,IC,Indian
GE-IC204,IC,Indian
GE-IC205,IC,Indian
GE-IC206,IC,Indian
GE-IC207,IC,Indian
GE-IC208,IC,Indian
GE-IC209,IC,Indian
GE-IC210,IC,Indian
GE-IC211,IC,Indian
GE-ID001,ID,Indian
GE-ID002,ID,Indian
GE-ID003,ID,Indian
GE-ID004,ID,Indian
GE-ID005,ID,Indian
GE-ID006,ID,Indian
GE-ID007,ID,Indian
GE-ID008,ID,Indian
GE-ID009,ID,Indian
GE-ID010,ID,Indian
GE-ID011,ID,Indian
GE-ID012,ID,Indian
GE-ID013,ID,Indian
GE-ID014,ID,Indian
GE-ID015,ID,Indian
GE-ID016,ID,Indian
GE-ID017,ID,Indian
